                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3345,                 3.7132,                 3.7539,                0.00878,                0.05185,                0.01288,                0.00399,                 2.7812,                 5.0423,                 3.3222,             0.00066471,             0.00066471,             0.00066471
                      2,                 2.8598,                 3.3249,                 3.0979,                0.26589,                0.16296,                0.10464,                0.03478,                 2.5591,                  3.049,                 3.0246,              0.0011996,              0.0011996,              0.0011996
                      3,                 2.6662,                 3.0784,                  2.847,                0.36792,                0.30222,                0.21233,                0.08453,                 2.2303,                 2.7697,                 2.6802,              0.0016024,              0.0016024,              0.0016024
                      4,                 2.4828,                 2.8624,                 2.6145,                0.40664,                0.29778,                0.24875,                0.10127,                 2.1152,                 2.6202,                 2.5375,               0.001406,               0.001406,               0.001406
                      5,                 2.3617,                 2.7172,                  2.464,                0.38905,                0.31321,                0.21265,                0.08649,                 1.9718,                 2.7026,                 2.4277,               0.001406,               0.001406,               0.001406
                      6,                 2.2311,                 2.5697,                 2.3473,                0.47733,                0.31407,                0.28634,                 0.1259,                  1.981,                 2.4698,                 2.3464,               0.001208,               0.001208,               0.001208
                      7,                 2.1522,                 2.4446,                 2.2447,                0.42845,                0.29481,                 0.2678,                0.13159,                 1.8828,                 2.3996,                 2.2659,                0.00101,                0.00101,                0.00101
                      8,                 2.0901,                 2.3535,                 2.1792,                0.44979,                0.35259,                0.32707,                0.15001,                 1.9162,                 2.3153,                 2.2732,               0.000812,               0.000812,               0.000812
                      9,                 2.0429,                 2.2753,                 2.1178,                  0.452,                0.38222,                0.34545,                0.16744,                 1.7744,                  2.333,                 2.1409,               0.000614,               0.000614,               0.000614
                     10,                  1.977,                  2.201,                 2.0754,                0.45377,                0.34519,                0.32409,                0.16685,                 1.7652,                 2.2812,                 2.1163,               0.000416,               0.000416,               0.000416
